Girls, Girls, Girls|M'tley Cr'e|D Standard|D Standard|D Standard
Home Sweet Home|M'tley Cr'e|D Standard|D Standard|D Standard
Dr. Feelgood|M'tley Cr'e|D Standard|D Standard|D Standard
Nine in the Afternoon|Panic! At The Disco|D Standard|D Standard|D Standard
5 Minutes Alone|Pantera|D Standard|D Standard|D Standard
'berlin|R.E.M.|D Standard|D Standard|D Standard
Out of the Black|Royal Blood|D Standard|D Standard|D Standard
Refuse/Resist|Sepultura|D Standard|D Standard|D Standard
Elephant|Tame Impala|D Standard|D Standard|D Standard
Sweater Weather|The Neighbourhood|D Standard|D Standard|D Standard
A Warrior's Call|Volbeat|D Standard|D Standard|D Standard
Lola Montez|Volbeat|D Standard|D Standard|D Standard
Heaven Nor Hell|Volbeat|D Standard|D Standard|D Standard
Still Counting|Volbeat|D Standard|D Standard|D Standard
Fallen|Volbeat|D Standard|D Standard|D Standard
Everybody's Fool|Evanescence|DADGAD|DADGAD|Drop D
Bodies|Drowning Pool|Drop C|Drop C|Drop C
Face Down|The Red Jumpsuit Apparatus|Drop C|Drop C|Drop C
All Signs Point to Lauderdale|A Day To Remember|Drop C|Drop C|Drop C
I'm Made Of Wax, Larry, What Are You Made Of?|A Day To Remember|Drop C|Drop C|Drop C
All I Want|A Day To Remember|Drop C|Drop C|Drop C
The Downfall of Us All|A Day To Remember|Drop C|Drop C|Drop C
Isolation|Alter Bridge|Drop C|Drop C|Drop C
Stingin' Belle|Biffy Clyro|Drop C|Drop C|Drop C
Suicide Messiah|Black Label Society|Drop C|Drop C|Drop C
Blow Me Away (ft. Valora)|Breaking Benjamin|Drop C|Drop C|Drop C
So Cold|Breaking Benjamin|Drop C|Drop C|Drop C
Your Betrayal|Bullet For My Valentine|Drop C|Drop C|Drop C
Hand Of Blood|Bullet For My Valentine|Drop C|Drop C|Drop C
Tears Don't Fall|Bullet For My Valentine|Drop C|Drop C|D Standard
Hearts Burst Into Fire|Bullet For My Valentine|Drop C|Drop C|Drop C
Hats Off to the Bull|Chevelle|Drop C|Drop C|Drop C
Change (In The House Of Flies)|Deftones|Drop C|Drop C|Drop C
Digital Bath|Deftones|Drop C|Drop C|Drop C
Stricken|Disturbed|Drop C|Drop C|Drop C
Inside The Fire|Disturbed|Drop C|Drop C|Drop C
The Night|Disturbed|Drop C|Drop C|Drop C
Indestructible|Disturbed|Drop C|Drop C|Drop C
This War Is Ours (The Guillotine II)|Escape The Fate|Drop C|Drop C|Drop C
Missing|Flyleaf|Drop C|Drop C|Drop C
I Stand Alone|Godsmack|Drop C|Drop C|Drop C
Awake|Godsmack|Drop C|Drop C|Drop C
Lips of an Angel|Hinder|Drop C|Drop C|Drop C
Holy Diver|Killswitch Engage|Drop C|Drop C|Drop C
The End of Heartache|Killswitch Engage|Drop C|Drop C|Drop C
My Curse|Killswitch Engage|Drop C|Drop C|Drop C
Oblivion|Mastodon|Drop C|Drop C|Drop C
Getting Away With Murder|Papa Roach|Drop C|Drop C|Drop C
Dragula|Rob Zombie|Drop C|Drop C|Drop C
Fake It|Seether|Drop C|Drop C|Drop C
Careless Whisper|Seether|Drop C|Drop C|Drop C
Enemies|Shinedown|Drop C|Drop C|Drop C
Monster|Skillet|Drop C|Drop C|Drop C
Toxicity|System of a Down|Drop C|Drop C|Drop C
Aerials|System of a Down|Drop C|Drop C|Drop C
From Yesterday|Thirty Seconds To Mars|Drop C|Drop C|Drop C
Riot|Three Days Grace|Drop C|Drop C|Drop C
Animal I Have Become|Three Days Grace|Drop C|Drop C|Drop C
Stare At The Sun|Thrice|Drop C|Drop C|Drop C
The Artist in the Ambulance|Thrice|Drop C|Drop C|Drop C
The Regulator|Clutch|Drop D|Custom Tuning:(DADFAd)|Drop D
Pompeii|Bastille|Drop D|E Standard|E Standard
Keep Away|Godsmack|Drop D|Drop D|Drop D
I Get Off|Halestorm|Drop D|Custom Tuning (Db Drop B)|Drop D
I Miss the Misery|Halestorm|Drop D|Drop D|Drop D
Mz. Hyde|Halestorm|Drop D|Drop D|Drop D
Unsung|Helmet|Drop D|Drop D|Drop D
Bleed American|Jimmy Eat World|Drop D|Drop D|Drop D
The Middle|Jimmy Eat World|Drop D|Drop D|Drop D
Sweetness|Jimmy Eat World|Drop D|Drop D|Drop D
I Write Sins Not Tragedies|Panic! at the Disco|Drop D|Drop D|Drop D
Ain't It Fun|Paramore|Drop D|Drop D|C# Standard
Pressure|Paramore|Drop D|Drop D|Drop D
Still Into You|Paramore|Drop D|Drop D|C# Standard
Bleeds No More|Silverstein|Drop D|Drop D|Drop D
Smashed into Pieces|Silverstein|Drop D|Drop D|Drop D
The Bartender and the Thief|Stereophonics|Drop D|Drop D|E Standard
Hunger Strike|Temple of the Dog|Drop D|Drop D|Drop D
Middle of the Road|The Pretenders|Drop D|Drop D|E Standard
Atarashii Hikari|9mm Parabellum Bullet|Drop D|Drop D|Drop D
Dear Maria, Count Me In|All Time Low|Drop D|Drop D|Drop D
Weightless|All Time Low|Drop D|Drop D|Drop D
Rise Today|Alter Bridge|Drop D|Drop D|Drop D
Show Me How to Live|Audioslave|Drop D|Drop D|Drop D
Afterlife|Avenged Sevenfold|Drop D|Drop D|Drop D
Beast And The Harlot|Avenged Sevenfold|Drop D|Drop D|Drop D
Nightmare|Avenged Sevenfold|Drop D|Drop D|Drop D
Bat Country|Avenged Sevenfold|Drop D|Drop D|Drop D
Sk8er Boi|Avril Lavigne|Drop D|Drop D|Drop D
Try Honesty|Billy Talent|Drop D|X|Drop D
Viking Death March|Billy Talent|Drop D|X|Drop D
Devil in a Midnight Mass|Billy Talent|Drop D|X|Drop D
Fallen Leaves|Billy Talent|Drop D|X|Drop D
Red Flag|Billy Talent|Drop D|X|Drop D
Devil on My Shoulder|Billy Talent|Drop D|Drop D|Drop D
Ricochet|Brian Adam McCune|Drop D|Drop D|Drop D
My Own Prison|Creed|Drop D|Drop D|Drop D
With Arms Wide Open|Creed|Drop D|Drop D|Drop D
Higher|Creed|Drop D|Drop D|Drop D
Cold|Crossfade|Drop D|Drop D|D Standard
Hole In The Earth|Deftones|Drop D|Drop D|Drop D
Wasteland|EarlyRise|Drop D|Drop D|Drop D
Sugar, We're Goin Down|Fall Out Boy|Drop D|Drop D|Drop D
Thnks fr th Mmrs|Fall Out Boy|Drop D|Drop D|Drop D
America's Suitehearts|Fall Out Boy|Drop D|Drop D|Drop D
Chompers|Fang Island|Drop D|Drop D|Drop D
Hey Man, Nice Shot|Filter|Drop D|Drop D|Drop D
All Around Me|Flyleaf|Drop D|Drop D|Drop D
Fully Alive|Flyleaf|Drop D|Drop D|Drop D
Cassie|Flyleaf|Drop D|Drop D'|Drop D
I'm So Sick|Flyleaf|Drop D|Drop D|Drop D
Monkey Wrench|Foo Fighters|Drop D|Drop D|Drop D
Everlong|Foo Fighters|Drop D|Drop D|Drop D
Love-Hate-Sex-Pain|Godsmack|Drop D|X|Drop D
Cryin' Like a Bitch|Godsmack|Drop D|Drop D|Drop D
Voodoo|Godsmack|Drop D|X|Drop D
Love Bites (So Do I)|Halestorm|Drop D|Drop D|Drop D
I Miss You|Incubus|Drop D|Drop D|Drop D
Grace|Jeff Buckley|Drop D|Drop D|Drop D
Blue On Black|Kenny Wayne Shepherd|Drop D|E Standard|E Standard
Laid to Rest|Lamb of God|Drop D|Drop D|Drop D
Redneck|Lamb of God|Drop D|Drop D|Drop D
Walk With Me in Hell|Lamb of God|Drop D|Drop D|Drop D
Bleed It Out|Linkin Park|Drop D|Drop D|Drop D
What I've Done|Linkin Park|Drop D|Drop D|Drop D
Guilty All the Same|Linkin Park|Drop D|Drop D|Drop D
The Beautiful People|Marilyn Manson|Drop D|Drop D|Drop D
Unnatural Selection|Muse|Drop D|X|Open G
Stockholm Syndrome|Muse|Drop D|Drop D|Drop D
How You Remind Me|Nickelback|Drop D|Drop D|Drop D
Bottoms Up|Nickelback|Drop D|Drop D|Drop D
Walk|Pantera|Drop D|X|Drop D
Last Resort|Papa Roach|Drop D|Drop D|Drop D
Now|Paramore|Drop D|Drop D|D Standard
Fat Bottomed Girls|Queen|Drop D|X|Drop D 
I Don't Believe in Love|Queensr'che|Drop D|Drop D|Drop D
Bodysnatchers|Radiohead|Drop D|Drop D|E Standard
Take The Power Back|Rage Against The Machine|Drop D|Drop D|Drop D
Killing In The Name|Rage Against The Machine|Drop D|Drop D|Drop D
Wake Up|Rage Against The Machine|Drop D|Drop D|Drop D
Renegades Of Funk|Rage Against The Machine|Drop D|Drop D|Drop D
Lay It Down|Ratt|Drop D|Drop D|Drop D
Wires|Red Fang|Drop D|Drop D|Drop D
Living Dead Girl|Rob Zombie|Drop D|Drop D|Drop D
Monochromic|Sabaka|Drop D|Drop D|Drop D
Sound of Madness|Shinedown|Drop D|Drop D'|Drop D
Slave to the Grind|Skid Row|Drop D|Drop D|Drop D
Awake and Alive|Skillet|Drop D|Drop D|Drop D
Outshined|Soundgarden|Drop D|Drop D|Drop D
Jesus Christ Pose|Soundgarden|Drop D|Drop D|Drop D
Spoonman|Soundgarden|Drop D|Drop D|Drop D
Between the Lines|Stone Temple Pilots|Drop D|X|Drop D
Fat Lip|Sum 41|Drop D|Drop D|Drop D
The Metal|Tenacious D|Drop D|Drop D|Drop D
Gold on the Ceiling|The Black Keys|Drop D|X|E Standard
A Knife In The Dark|The Notetrackers|Drop D|Drop D|Drop D
The Chimera|The Smashing Pumpkins|Drop D|Drop D|Drop D
Break|Three Days Grace|Drop D|Drop D|Drop D
Never Too Late|Three Days Grace|Drop D|Drop D|Drop D
I Hate Everything About You|Three Days Grace|Drop D|Drop D|Drop D
Slither|Velvet Revolver|Drop D|Drop D|Drop D
Joker and the Thief|Wolfmother|Drop D|Drop D|E Standard
Ocean Avenue|Yellowcard|Drop D|Drop D|Drop D
Feeling This|blink-182|Drop D (Capo Required)|Drop D (Capo Required)|E Standard
Never Going Back Again|Fleetwood Mac|Drop D (Capo Required)|Eb Standard|E Standard
Black Hole Sun|Soundgarden|Drop D: A455|Drop D: A455|Drop D: A455
Shimmer|Fuel|E Standard|E Standard|Drop D
Found Out About You|Gin Blossoms|E Standard|E Standard|E Standard
Werewolves of London|Warren Zevon|E Standard|E Standard|E Standard
Always|blink-182|E Standard|E Standard|E Standard
Stacy's Mom|Fountains of Wayne|E Standard|E Standard|E Standard
40:1|Sabaton|E Standard|E Standard|E Standard
Ghost Division|Sabaton|E Standard|E Standard|E Standard
Primo Victoria|Sabaton|E Standard|E Standard|E Standard
Take On Me|a-ha|E Standard|E Standard|E Standard
Billion Dollar Babies|Alice Cooper|E Standard|E Standard|E Standard
Poison|Alice Cooper|E Standard|E Standard|Drop D
School's Out|Alice Cooper|E Standard|E Standard|E Standard
Movies|Alien Ant Farm|E Standard|X|E Standard
